Domain,Condition,MAPE_%,Median_MAPE_%,RMSE_cycles,R2
Stanford LFP (Source),Source Trained (From Scratch),28.191328048706055,21.031519,223.38049097895725,-0.02729964256286621
Oxford LCO,Zero-Shot (Frozen Source Model),24.409383535385132,23.650837,157.4424125871107,-0.0008460283279418945
Oxford LCO,Transfer Learned (Frozen Encoder),23.569397628307343,22.836964,158.4294006805555,-0.013433694839477539
CALCE NMC,Zero-Shot (Frozen Source Model),25.265580415725708,27.105942,238.56558650086143,-1.1553258895874023
CALCE NMC,Transfer Learned (Frozen Encoder),19.385844469070435,14.293514,163.6654182795651,-0.014404654502868652
