model_suite,algorithm,num_features,cv_mape_%,cv_rmse_cycles,cv_r2,test_mape_%,test_rmse_cycles,test_r2
1_Baseline_Naive,ElasticNet,7,29.652194300940206,264.7572834599807,0.26600101480973826,36.661777539196734,329.6623483302075,0.19554152212164422
1_Baseline_Naive,LightGBM,7,34.53804820328564,303.34726021863094,0.03643774263374422,38.4436134532793,327.2764344154316,0.207143835949549
2_Benchmark_Severson,ElasticNet,1,16.373480695789297,183.65787679470245,0.6468015855530327,19.491791966426344,215.95099826976747,0.6547963580549871
3_Full_Physics_Informed,ElasticNet,33,14.529534354639532,155.67619492882744,0.7462278012070621,39.5355638888519,275.8111616633359,0.43689600066945844
3_Full_Physics_Informed,RandomForest,33,15.758463728905605,169.36554003381892,0.6996347205452712,19.80751566227935,168.5344450430935,0.7897469582029721
3_Full_Physics_Informed,LightGBM,33,16.120285082463457,164.1355554536841,0.7178987794848081,17.74025843644576,155.25115478382324,0.821583664395597
