Condition,MAPE_%,Median_MAPE_%,RMSE_cycles,R2
A_Baseline_Naive_Only,48.763278126716614,36.97627590013587,365.12149091090214,0.013175904750823975
B_CNN_Embeddings_Only,19.606338441371918,6.185739251631725,189.16086284231736,0.735133171081543
C_Domain_Physics_Only,20.63879370689392,7.915736954525647,169.85470008399827,0.7864398956298828
D_Full_Hybrid_1DCNN_XGBoost,17.52099096775055,6.075997749117137,150.85190378314752,0.831551730632782
